date,family,method_a,method_b,l1_half
2021-01-04,Equity,Minimum Variance,Equal Weight,0.8008088368768929
2021-02-01,Equity,Minimum Variance,Equal Weight,0.812692890157036
2021-03-01,Equity,Minimum Variance,Equal Weight,0.8055390824496244
2021-04-01,Equity,Minimum Variance,Equal Weight,0.7923368152006891
2021-05-03,Equity,Minimum Variance,Equal Weight,0.7460828778579488
2021-06-01,Equity,Minimum Variance,Equal Weight,0.7390258278337063
2021-07-01,Equity,Minimum Variance,Equal Weight,0.6760681476289836
2021-08-02,Equity,Minimum Variance,Equal Weight,0.68678524828217
2021-09-01,Equity,Minimum Variance,Equal Weight,0.692456142414432
2021-10-01,Equity,Minimum Variance,Equal Weight,0.699111996210903
2021-11-01,Equity,Minimum Variance,Equal Weight,0.6564910208154919
2021-12-01,Equity,Minimum Variance,Equal Weight,0.6015294867204861
2022-01-03,Equity,Minimum Variance,Equal Weight,0.5911820819301158
2022-02-01,Equity,Minimum Variance,Equal Weight,0.5588642171939605
2022-03-01,Equity,Minimum Variance,Equal Weight,0.6462655567363831
2022-04-01,Equity,Minimum Variance,Equal Weight,0.6370277381967648
2022-05-02,Equity,Minimum Variance,Equal Weight,0.695894047254519
2022-06-01,Equity,Minimum Variance,Equal Weight,0.7141165705091965
2022-07-01,Equity,Minimum Variance,Equal Weight,0.717521823825642
2022-08-01,Equity,Minimum Variance,Equal Weight,0.7174364631814508
2022-09-01,Equity,Minimum Variance,Equal Weight,0.7045247271543659
2022-10-03,Equity,Minimum Variance,Equal Weight,0.7318760214646322
2022-11-01,Equity,Minimum Variance,Equal Weight,0.7445303838218705
2022-12-01,Equity,Minimum Variance,Equal Weight,0.7522469712703418
2023-01-03,Equity,Minimum Variance,Equal Weight,0.7485694168559427
2023-02-01,Equity,Minimum Variance,Equal Weight,0.759885546834821
2023-03-01,Equity,Minimum Variance,Equal Weight,0.7740400529062185
2023-04-03,Equity,Minimum Variance,Equal Weight,0.7600073295537957
2023-05-01,Equity,Minimum Variance,Equal Weight,0.7883633194976974
2023-06-01,Equity,Minimum Variance,Equal Weight,0.82
2023-07-03,Equity,Minimum Variance,Equal Weight,0.798475510439064
2023-08-01,Equity,Minimum Variance,Equal Weight,0.7754122275834493
2023-09-01,Equity,Minimum Variance,Equal Weight,0.752255403997591
2023-10-02,Equity,Minimum Variance,Equal Weight,0.7418823661550001
2023-11-01,Equity,Minimum Variance,Equal Weight,0.7434227744653679
2023-12-01,Equity,Minimum Variance,Equal Weight,0.6955604071893999
