fund,family,method,observations,annualised_return,annualised_volatility,sharpe,max_drawdown,terminal_growth,first_live_date,estimation_window,periods_per_year,avg_annual_turnover
Equity - Equal Weight,Equity,Equal Weight,752,0.13293357926021931,0.1610829103849029,0.855477584829683,-0.2019304560395695,1.4512858446480272,2021-01-05,252,252,0.49291946950790255
Equity - Minimum Variance,Equity,Minimum Variance,752,0.053613108144164645,0.1272760218906957,0.47396906858426285,-0.14946237982571187,1.1686473451829826,2021-01-05,252,252,1.8983543011790762
Equity - Maximum Sharpe,Equity,Maximum Sharpe,752,0.07025878521367446,0.1749230004884695,0.47578925713466874,-0.22821641053981834,1.224611484771289,2021-01-05,252,252,3.784341816825174
Equity - Risk Parity,Equity,Risk Parity,752,0.10420016402264554,0.14525171064416248,0.7551076891934172,-0.1840770626585857,1.3441883386801943,2021-01-05,252,252,0.5444492655984583
Crypto - Equal Weight,Crypto,Equal Weight,1094,0.3711480254537045,0.8173842427126007,0.7991022324121964,-0.8172042252915966,2.5755942936029066,2021-01-02,365,365,0.840826676117101
Crypto - Minimum Variance,Crypto,Minimum Variance,1094,0.6206579258543061,0.7123408067858817,1.0365340993835952,-0.7145987878169321,4.251082913577972,2021-01-02,365,365,1.4117328583520463
Crypto - Maximum Sharpe,Crypto,Maximum Sharpe,1094,-0.02714245801171855,0.7620664709533145,0.34941888968437534,-0.8564678609000895,0.9208321884427545,2021-01-02,365,365,2.841181156755862
Crypto - Risk Parity,Crypto,Risk Parity,1094,0.40991466327666104,0.7972939031194097,0.8336583026592873,-0.8005485172996101,2.800075453070627,2021-01-02,365,365,0.8990951739623404
Combined - Equal Weight,Combined,Equal Weight,752,0.15466103431924805,0.21460290335635582,0.7777454418474012,-0.27738414198360806,1.5359327087549939,2021-01-05,252,252,0.6301671236363744
Combined - Minimum Variance,Combined,Minimum Variance,752,0.054324299875488036,0.12755617858640006,0.47850187533297556,-0.15074321720178085,1.1710029210732347,2021-01-05,252,252,1.9181886503760626
Combined - Maximum Sharpe,Combined,Maximum Sharpe,752,0.15703633321677968,0.23271748511063733,0.7429846504858838,-0.26170881427591675,1.5453806950247604,2021-01-05,252,252,4.227291759316003
Combined - Risk Parity,Combined,Risk Parity,752,0.14349057206712956,0.16151321611030883,0.9111315101164577,-0.19306175427476224,1.492015854139547,2021-01-05,252,252,0.6154996358716326
Equity - Minimum Variance + Context-Weighted Sentiment,Equity,Minimum Variance + Context-Weighted Sentiment,752,0.05320768112480545,0.1272316149542896,0.47106429737637656,-0.14947463740783717,1.1673059198601723,2021-01-05,same as base,252,1.9136488971278247
